,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Thompson,55.7435,-97.8558,61.81,77,100,7.87,CA,1627178961
1,Hobart,-42.8794,147.3294,48.25,63,40,5.99,AU,1627179043
2,Busselton,-33.65,115.3333,64.04,67,94,18.52,AU,1627178964
3,Cape Town,-33.9258,18.4232,51.28,62,100,6.31,ZA,1627178812
4,Lebu,-37.6167,-73.65,50.94,85,96,23.55,CL,1627179044
5,Saskylakh,71.9167,114.0833,69.98,58,99,6.15,RU,1627179044
6,Philadelphia,39.9523,-75.1638,78.06,63,90,3.0,US,1627178937
7,Hilo,19.7297,-155.09,80.33,85,90,8.05,US,1627179044
8,Kapaa,22.0752,-159.319,84.52,80,90,4.0,US,1627178969
9,Cherskiy,68.75,161.3,56.32,54,69,6.35,RU,1627179044
10,Butaritari,3.0707,172.7902,83.95,72,13,12.24,KI,1627179045
11,Westport,41.1415,-73.3579,75.34,81,1,7.0,US,1627178923
12,Ribeira Grande,38.5167,-28.7,70.2,91,11,10.51,PT,1627179045
13,Tucumã,-0.1833,-50.05,75.61,87,21,6.38,BR,1627179045
14,New Norfolk,-42.7826,147.0587,47.91,61,72,11.86,AU,1627179046
15,Puerto Ayora,-0.7393,-90.3518,72.55,86,6,5.01,EC,1627179046
16,Kavieng,-2.5744,150.7967,84.24,71,11,7.76,PG,1627179046
17,Hermanus,-34.4187,19.2345,50.9,51,100,5.37,ZA,1627179046
18,Piaçabuçu,-10.4056,-36.4344,74.77,74,0,13.38,BR,1627179047
19,Fortuna,40.5982,-124.1573,94.48,90,90,11.5,US,1627178981
20,Ocós,14.5094,-92.1933,83.25,74,63,2.57,GT,1627179047
21,Jamestown,42.097,-79.2353,72.99,82,1,8.99,US,1627178775
22,Wattegama,6.7989,81.4808,80.01,70,91,10.07,LK,1627179047
23,Barrow,71.2906,-156.7887,44.62,81,90,4.61,US,1627179048
24,Vaini,-21.2,-175.2,77.16,94,20,9.22,TO,1627178970
25,Camaná,-16.6228,-72.7111,61.14,80,85,4.9,PE,1627179048
26,Rikitea,-23.1203,-134.9692,69.37,55,0,1.03,PF,1627179048
27,Albany,42.6001,-73.9662,71.67,67,100,1.99,US,1627178754
28,Itarema,-2.9248,-39.9167,76.1,80,3,10.83,BR,1627179000
29,Adrar,20.5022,-10.0711,91.24,21,95,9.6,MR,1627179049
30,Dikson,73.5069,80.5464,37.11,98,79,8.95,RU,1627179049
31,Ushuaia,-54.8,-68.3,38.86,75,75,2.3,AR,1627179049
32,Severo-Kuril'sk,50.6789,156.125,57.61,89,98,2.15,RU,1627179049
33,Sarangani,5.4033,125.4636,84.49,75,87,12.55,PH,1627179050
34,Chui,-33.6971,-53.4616,56.41,82,100,6.6,UY,1627179050
35,Port-Cartier,50.0334,-66.8654,60.93,94,100,3.69,CA,1627179050
36,Mirny,62.5353,113.9611,73.26,44,81,4.88,RU,1627179050
37,Asău,46.4333,26.4,63.75,86,3,3.02,RO,1627179051
38,Río Gallegos,-51.6226,-69.2181,39.25,65,75,4.61,AR,1627179051
39,Airai,-8.9266,125.4092,75.49,22,14,3.27,TL,1627179051
40,Bredasdorp,-34.5322,20.0403,47.46,55,97,3.91,ZA,1627179052
