,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hwange,-18.3693,26.5019,60.57,37,1,2.66,ZW,1627235475
1,Tamuín,21.9833,-98.75,90.07,56,6,4.59,MX,1627235475
2,Dayong,25.0209,118.2898,87.48,84,85,4.27,CN,1627235475
3,Ushuaia,-54.8,-68.3,35.26,93,90,26.46,AR,1627235306
4,Saint-Louis,16.3333,-15.0,101.84,32,56,11.14,SN,1627235475
5,Souillac,-20.5167,57.5167,71.98,60,40,11.5,MU,1627235243
6,Lincoln,40.8,-96.667,82.02,72,1,1.99,US,1627235466
7,Hobart,-42.8794,147.3294,42.66,73,67,1.99,AU,1627235293
8,Pitimbu,-7.4706,-34.8086,77.59,69,8,13.87,BR,1627235476
9,Devgarh,25.5333,73.9,76.19,90,88,14.07,IN,1627235476
10,Rikitea,-23.1203,-134.9692,70.34,65,97,3.91,PF,1627235476
11,Hilo,19.7297,-155.09,77.61,93,90,5.75,US,1627235231
12,Price,39.5994,-110.8107,86.72,38,1,0.0,US,1627235477
13,Qaanaaq,77.484,-69.3632,40.23,70,88,5.48,GL,1627235477
14,São Filipe,14.8961,-24.4956,74.25,73,56,7.7,CV,1627235477
15,São João da Barra,-21.6403,-41.0511,77.09,60,0,14.61,BR,1627235223
16,Bahía de Caráquez,-0.6,-80.4167,77.18,78,100,7.02,EC,1627235478
17,Muisne,0.6,-80.0333,82.51,77,95,11.65,EC,1627235478
18,Nouadhibou,20.931,-17.0347,76.98,73,0,17.27,MR,1627235478
19,Thiene,45.7088,11.4796,83.32,65,68,4.43,IT,1627235478
20,Mount Gambier,-37.8333,140.7667,51.71,93,90,16.11,AU,1627235479
21,Kapaa,22.0752,-159.319,79.12,84,75,1.99,US,1627235479
22,Sitka,57.0531,-135.33,55.29,82,90,4.61,US,1627235479
23,Hithadhoo,-0.6,73.0833,80.87,74,85,3.24,MV,1627235479
24,Punta Arenas,-53.15,-70.9167,41.11,70,20,16.11,CL,1627235480
25,İskilip,40.7353,34.4739,67.89,61,51,8.63,TR,1627235480
26,East London,-33.0153,27.9116,59.94,72,0,6.91,ZA,1627235307
27,Bārān,25.1,76.5167,84.76,76,82,6.49,IN,1627235480
28,Jamestown,42.097,-79.2353,83.3,63,75,4.0,US,1627235277
29,Chui,-33.6971,-53.4616,68.05,79,61,10.36,UY,1627235481
30,Hermanus,-34.4187,19.2345,53.8,55,100,7.9,ZA,1627235302
31,Lufilufi,-13.8745,-171.5986,74.98,72,41,13.67,WS,1627235481
32,Albany,42.6001,-73.9662,82.27,74,94,6.62,US,1627235481
33,Dyersburg,36.0345,-89.3856,93.88,70,1,6.91,US,1627235482
34,Butaritari,3.0707,172.7902,81.95,76,18,10.31,KI,1627235482
35,Marabá,-5.3686,-49.1178,96.98,34,20,5.75,BR,1627235482
36,Kismayo,-0.3582,42.5454,75.58,76,24,20.56,SO,1627235482
